iter	RMSE
0	1288.348105
1	1260.368252
2	1231.640286
3	1204.190164
4	1177.40469
5	1152.927159
6	1126.843003
7	1107.331315
8	1084.184012
9	1062.048544
10	1039.711961
11	1027.017428
12	999.8886422
13	981.5551267
14	963.3539971
15	945.7004111
16	928.204595
17	906.5932975
18	887.3697555
19	878.6089429
20	867.4561359
21	855.3339506
22	840.2986211
23	826.3211068
24	807.4504702
25	791.6789021
26	785.619022
27	765.4424642
28	746.9722778
29	731.4275229
30	716.5693587
31	705.0279952
32	696.3564996
33	688.2861701
34	673.8394654
35	659.172651
36	648.2797546
37	641.0445513
38	631.1042705
39	619.4291051
40	608.7927103
41	599.8884954
42	590.5138891
43	583.555136
44	576.6658926
45	568.9362309
46	562.086499
47	550.9119075
48	543.0131937
49	533.3482118
50	522.6883113
51	516.4620783
52	511.4431869
53	503.5928133
54	495.9541759
55	489.3817472
56	481.4444797
57	478.4319469
58	471.6882653
59	468.3710369
60	462.4223116
61	455.8333739
62	450.6928928
63	443.7403204
64	436.3504967
65	431.337469
66	425.1311273
67	416.4673336
68	411.9397531
69	404.4493462
70	401.0920304
71	393.6628617
72	386.6174646
73	379.2835821
74	372.866094
75	367.0152011
76	360.8850259
77	356.4045161
78	350.99851
79	345.1968536
80	338.3706605
81	333.3283168
82	328.091566
83	324.2785908
84	319.4361066
85	313.9665868
86	309.0992396
87	306.5272981
88	302.4493639
89	297.4695228
90	293.3045625
91	287.7007909
92	283.8443772
93	278.4760462
94	274.7324008
95	270.5141666
96	266.3184487
97	261.7726177
98	257.8303143
99	254.0759972
100	250.9979984
101	246.9751978
102	243.5019869
103	239.5429998
104	235.3207924
105	231.1321872
106	228.1345509
107	224.6278365
108	220.6603549
109	217.588581
110	213.9768477
111	212.2167103
112	209.3644984
113	206.2402165
114	202.5795715
115	199.7328634
116	197.0941978
117	193.6817215
118	190.5435892
119	187.6013896
120	184.9198496
121	182.027307
122	178.9908033
123	176.7786872
124	173.54688
125	171.436603
126	169.0836204
127	166.3687064
128	164.5665953
129	162.3455714
130	160.4484101
131	157.8213874
132	156.0968801
133	153.5784535
134	151.1399043
135	148.3314839
136	146.1151571
137	143.9982438
138	141.8469745
139	139.6815
140	138.2597058
141	135.9317832
142	134.1674643
143	131.9870505
144	130.5786071
145	128.7182467
146	127.3006638
147	125.5108191
148	123.9424617
149	121.9393918
150	120.1674884
151	118.2775185
152	116.6053809
153	114.9863718
154	113.4189728
155	111.7921039
156	109.8321632
157	107.9564538
158	106.8198288
159	105.0446155
160	103.892335
161	102.4329559
162	100.9787325
163	99.99471774
164	99.03758489
165	97.66323231
166	96.28663271
167	95.38518621
168	94.35006981
169	93.0292995
170	91.78957746
171	90.38326953
172	89.56265517
173	88.64229841
174	87.45360282
175	86.30112561
176	85.18388603
177	84.08625434
178	82.98010601
179	81.71841825
180	80.71808043
181	79.52192136
182	78.20169925
183	76.93790456
184	75.72833952
185	74.5792906
186	73.40225067
187	72.31367123
188	71.33606661
189	70.91575975
190	69.89140024
191	68.9547354
192	68.41915655
193	67.53856125
194	66.73170249
195	65.73102637
196	64.94158284
197	64.06170293
198	63.3190818
199	62.34731932
200	61.87646852
201	61.41923847
202	60.59647856
203	59.90314476
204	59.03429432
205	58.25112989
206	57.42459147
207	56.75883219
208	55.975329
209	55.2861199
210	54.53728804
211	53.99480481
212	53.18455
213	52.16504234
214	51.15563344
215	50.2897285
216	49.58502479
217	48.72867857
218	47.93553899
219	47.25188735
220	46.63428945
221	45.95067598
222	45.346007
223	44.79365913
224	44.10526872
225	43.59393902
226	42.96353733
227	42.38739723
228	41.90683256
229	41.50358624
230	40.91712448
231	40.54255684
232	40.03570274
233	39.65610326
234	39.35183502
235	38.95766655
236	38.66417581
237	38.33000028
238	37.94942166
239	37.69520902
240	37.30839717
241	37.06298242
242	36.75688489
243	36.50428156
244	36.14387611
245	35.91674858
246	35.55813076
247	35.3389371
248	35.09886481
249	34.726637
250	34.51983756
251	33.99771623
252	33.77381453
253	33.4585079
254	33.24296283
255	33.05445783
256	32.71306828
257	32.41978209
258	32.21869531
259	31.92606927
260	31.73256989
261	31.56279698
262	31.10306344
263	30.8260801
264	30.39289999
265	30.21451744
266	30.1156353
267	29.85279165
268	29.4474969
269	29.02194348
270	28.92821071
271	28.76114106
272	28.40604729
273	28.31620648
274	28.12599465
275	27.78447428
276	27.39166517
277	27.30564212
278	26.96606053
279	26.5914069
280	26.49202857
281	26.16787756
282	25.82962106
283	25.51882789
284	25.37298841
285	25.27792001
286	24.97014358
287	24.70865859
288	24.4192978
289	24.25926721
290	24.1688454
291	23.87674695
292	23.55459715
293	23.32516661
294	23.17771686
295	23.09367737
296	23.0117479
297	22.90066935
298	22.79295455
299	22.67314154
