iter	Passed	Remaining
0	0	56
1	0	56
2	0	54
3	0	53
4	0	55
5	1	54
6	1	54
7	1	53
8	1	53
9	1	54
10	2	53
11	2	53
12	2	52
13	2	52
14	3	65
15	4	77
16	4	75
17	4	73
18	4	73
19	5	72
20	5	70
21	5	69
22	5	69
23	5	68
24	6	67
25	6	66
26	6	66
27	6	65
28	6	64
29	7	63
30	7	63
31	7	62
32	8	67
33	8	66
34	8	65
35	9	70
36	9	69
37	10	69
38	10	72
39	11	72
40	11	71
41	11	70
42	11	69
43	11	68
44	11	67
45	12	67
46	12	66
47	12	65
48	12	65
49	12	64
50	13	63
51	13	63
52	13	62
53	13	61
54	13	61
55	14	61
56	14	60
57	14	60
58	14	59
59	14	59
60	14	58
61	15	58
62	15	57
63	15	57
64	15	56
65	15	56
66	16	58
67	16	57
68	17	57
69	17	56
70	17	56
71	17	55
72	17	55
73	18	55
74	18	54
75	18	54
76	18	53
77	18	53
78	18	53
79	19	52
80	19	52
81	19	51
82	19	51
83	19	51
84	20	50
85	20	50
86	20	49
87	21	51
88	21	50
89	21	50
90	21	50
91	22	49
92	22	49
93	22	49
94	22	48
95	22	48
96	22	47
97	23	47
98	23	47
99	23	46
100	23	46
101	23	46
102	23	45
103	24	45
104	24	45
105	24	44
106	25	45
107	25	45
108	25	45
109	25	44
110	26	44
111	26	44
112	26	43
113	26	43
114	26	43
115	26	42
116	27	42
117	27	42
118	27	41
119	27	41
120	27	41
121	28	40
122	28	40
123	28	40
124	28	40
125	28	39
126	28	39
127	29	39
128	29	38
129	29	38
130	29	38
131	29	37
132	30	37
133	30	37
134	30	37
135	30	36
136	31	37
137	31	37
138	31	36
139	32	36
140	32	36
141	32	36
142	32	35
143	32	35
144	32	35
145	33	34
146	33	34
147	33	34
148	33	34
149	33	33
150	34	33
151	34	33
152	34	33
153	34	32
154	34	32
155	34	32
156	35	32
157	35	31
158	35	31
159	35	31
160	35	30
161	36	31
162	36	31
163	37	30
164	37	30
165	37	30
166	37	29
167	37	29
168	38	29
169	38	29
170	38	28
171	38	28
172	38	28
173	38	28
174	39	27
175	39	27
176	39	27
177	39	27
178	39	26
179	39	26
180	40	26
181	40	26
182	40	25
183	40	25
184	40	25
185	41	25
186	41	24
187	41	24
188	41	24
189	41	24
190	41	23
191	42	23
192	42	23
193	42	23
194	42	22
195	42	22
196	42	22
197	43	22
198	43	22
199	43	21
200	43	21
201	43	21
202	44	21
203	44	20
204	44	20
205	44	20
206	44	20
207	44	19
208	45	19
209	45	19
210	45	19
211	45	18
212	45	18
213	46	18
214	46	18
215	47	18
216	47	18
217	47	17
218	47	17
219	47	17
220	48	17
221	48	16
222	48	16
223	48	16
224	48	16
225	48	16
226	49	15
227	49	15
228	49	15
229	49	15
230	49	14
231	50	14
232	50	14
233	50	14
234	50	13
235	50	13
236	50	13
237	51	13
238	52	13
239	52	13
240	52	12
241	52	12
242	52	12
243	52	12
244	53	11
245	53	11
246	54	11
247	55	11
248	55	11
249	55	11
250	55	10
251	55	10
252	55	10
253	56	10
254	57	10
255	57	9
256	57	9
257	57	9
258	57	9
259	57	8
260	58	8
261	58	8
262	58	8
263	58	8
264	59	7
265	59	7
266	59	7
267	59	7
268	59	6
269	59	6
270	60	6
271	60	6
272	60	5
273	60	5
274	60	5
275	60	5
276	61	5
277	61	4
278	61	4
279	61	4
280	61	4
281	61	3
282	62	3
283	63	3
284	63	3
285	63	3
286	63	2
287	63	2
288	63	2
289	64	2
290	64	1
291	64	1
292	64	1
293	64	1
294	65	1
295	65	0
296	65	0
297	65	0
298	65	0
299	65	0
